Id,SalePrice
1461,122234.99595955235
1462,139178.2636841709
1463,169872.05425124324
1464,199138.80165588635
1465,196257.10922933777
1466,182619.8596640065
1467,200754.86627186474
1468,173034.14898422908
1469,208088.21435856877
1470,118252.26905730914
1471,200048.73990275862
1472,112555.15779928223
1473,88064.08531105344
1474,148705.8995193824
1475,111190.90212161175
1476,313040.56014738337
1477,249881.2444459683
1478,289183.3254708337
1479,268060.78699597425
1480,386285.1067526719
1481,289265.5588691138
1482,211435.1432707418
1483,174685.6348820798
1484,172963.71640966518
1485,207308.94186755724
1486,207784.37808123266
1487,285212.2702380897
1488,260324.31090684969
1489,181886.99813075282
1490,232981.13720526418
1491,211504.5397035248
1492,90426.20873619232
1493,219465.95864771248
1494,288069.05533542426
1495,275579.27905940905
1496,215710.9758721228
1497,158689.53289793746
1498,152318.1406255922
1499,162017.52946486266
1500,150472.59577406722
1501,189066.5901665002
1502,146061.91770618164
1503,286086.99483629863
1504,246544.75633574987
1505,223037.12948208873
1506,196997.14646902133
1507,241454.58301610278
1508,198596.4577680541
1509,153425.9317277359
1510,144251.46163180738
1511,147768.57980752655
1512,189769.14740378468
1513,166459.89662992477
1514,157420.37565639277
1515,204396.8991278481
1516,170779.43654694536
1517,166310.29242593527
1518,118868.13734457816
1519,240796.68304192054
1520,122672.23441717669
1521,113388.31738787715
1522,204902.22104702832
1523,74005.80278103182
1524,101185.63413032598
1525,98785.92745774321
1526,84605.05433562107
1527,90674.54326349671
1528,150072.45892379887
1529,128291.43018708925
1530,245827.12035456544
1531,143591.15240819694
1532,118226.97817458317
1533,144876.40378679906
1534,123530.12278990203
1535,143188.48331319785
1536,97261.11960651225
1537,43024.250792038976
1538,177981.47587959107
1539,217808.58082450216
1540,112522.1358862532
1541,153446.87715569802
1542,130444.29206360027
1543,184946.22151814413
1544,74419.69345434324
1545,130035.1304873795
1546,140107.9773815429
1547,141476.88529371226
1548,132213.492185288
1549,126179.09895548446
1550,126041.08840124577
1551,131011.22886573628
1552,134539.79434796015
1553,167794.9321030468
1554,117656.49206460256
1555,158672.82303544495
1556,80258.39594810165
1557,90087.36519182648
1558,92457.05659741897
1559,73509.82218901964
1560,125176.04901615961
1561,123951.26049668796
1562,116698.84488870192
1563,114864.87732181151
1564,149011.59962640877
1565,139636.71973662206
1566,244002.252313587
1567,68730.91128316696
1568,221420.98893975734
1569,92118.4781882941
1570,144207.14488795155
1571,120777.65388441936
1572,134066.21397984668
1573,243732.54268886067
1574,117219.29811655439
1575,243937.75749020476
1576,257909.03276117833
1577,198093.1904996616
1578,145811.96769054362
1579,136017.75282271684
1580,210010.4816063795
1581,136361.4166953623
1582,126789.12997718726
1583,306108.3975886364
1584,228178.42531053617
1585,157149.60739233892
1586,54049.4579039166
1587,98704.36099051603
1588,141576.61428394064
1589,107460.6432493244
1590,130113.32911830407
1591,74083.58355648874
1592,121236.5623224749
1593,149974.54461326485
1594,125317.97246965475
1595,119982.99402511527
1596,207090.72670359618
1597,168304.34246024105
1598,207105.51549056533
1599,199230.15854877385
1600,184604.32587403932
1601,24903.568008177564
1602,127355.3075293299
1603,58281.80662531953
1604,249541.23813777312
1605,269169.4706493871
1606,172844.39978009986
1607,165334.99579164374
1608,230633.1250730384
1609,196242.3081797444
1610,156917.89458685077
1611,164825.5405607164
1612,163753.33455399715
1613,173813.0354752302
1614,125002.01569293079
1615,69233.77672481479
1616,51993.707336547435
1617,56369.791967769735
1618,105159.82453405939
1619,156474.3104890586
1620,176108.86608453828
1621,134869.85455958603
1622,126776.44422876427
1623,257995.09999533964
1624,207024.93505709444
1625,118501.34759468178
1626,193549.4146921594
1627,193684.96306545136
1628,278215.2031546681
1629,195796.16426785977
1630,301298.02082662296
1631,211222.4666152905
1632,226392.81375794963
1633,194438.88502691488
1634,194399.92515805282
1635,189957.92773866106
1636,164017.9689067892
1637,195838.52893729287
1638,215091.8147975729
1639,199215.3106583393
1640,254297.02207864204
1641,197318.8007550732
1642,225717.37972162466
1643,224408.4414061223
1644,232300.25209008472
1645,244010.80171463068
1646,181303.71564897883
1647,174955.24759375013
1648,134122.9156718679
1649,129725.26553244737
1650,115464.8046954727
1651,110265.40136100713
1652,117583.01392704097
1653,117584.14912667207
1654,151515.0122100726
1655,146894.5484369098
1656,139414.31476433564
1657,152571.40007940202
1658,143660.79768631223
1659,127188.93645679683
1660,139771.08318366914
1661,369478.83755461324
1662,321197.3411544248
1663,320290.37683657056
1664,409765.90867830755
1665,287589.4967444864
1666,294416.7709786402
1667,301144.3767714797
1668,311068.43222248426
1669,294135.0831746749
1670,309607.31745780946
1671,258031.78917898925
1672,373949.88340799196
1673,288984.3148952053
1674,256104.49212394503
1675,184261.946984955
1676,194495.5877266893
1677,215751.5398501741
1678,385225.9163662527
1679,317550.0743173306
1680,273744.5593898598
1681,242624.34331404057
1682,290983.6134165778
1683,191453.96031812334
1684,205367.18687181512
1685,178645.41651456302
1686,173983.8176003868
